eformart,2.11,$0.79 ,"9,650"
other,2.91,0,"5,515"
ELE,2.91,0,"1,574"
accmart,2.91,0,"3,344"
other,2.91,0,226
other,3.89,0,"1,070"
other,4.2,0,36
other,0.01,$4.99 ,0
other,4.62,$1.99 ,880
http://www.amazon.com/gp/offer-listing/B0030AZ48U,26/03/2014,,
Meco,2.92,0,"8,847"
other,2.92,0,"3,821"
other,2.93,0,"1,926"
other,2.95,0,84
other,2.31,$0.69 ,"1,450"
other,3.03,0,"6,081"
other,2.04,$0.99 ,"1,956"
other,3.2,0,"1,274"
other,3.21,0,642
eformart,2.59,$0.79 ,"9,650"
http://www.amazon.com/gp/offer-listing/B000051189,26/03/2014,,
other,4.59,0,"2,172"
other,5.37,0,"8,574"
eformart,4.58,$0.79 ,"9,650"
other,5.37,0,0
other,6.27,0,588
other,0.5,$5.78 ,88
other,7.52,0,"1,026"
other,8.01,0,721
other,4.5,$6.24 ,673
other,4.2,$6.83 ,71
http://www.amazon.com/gp/offer-listing/B004TNPA40,26/03/2014,,
eformart,8.06,$0.79 ,"9,650"
other,8.85,0,112
other,8.85,0,"5,515"
other,6.86,$1.99 ,458
other,8.86,0,56
other,8.86,0,83
other,8.86,0,48
other,4.88,$3.99 ,0
accmart,8.9,0,"3,344"
other,8.98,0,60
http://www.amazon.com/gp/offer-listing/B00520BL8I,26/03/2014,,
other,1.84,0,15
other,1.85,0,1
other,0.86,$0.99 ,2
ELE,2.52,0,"1,574"
accmart,2.52,0,"3,344"
other,2.52,0,"1,468"
other,2.99,0,"1,070"
other,3.3,0,399
eformart,2.51,$0.79 ,"9,650"
other,3.56,0,130
http://www.amazon.com/gp/offer-listing/B006ZATRVW,26/03/2014,,
other,9.93,0,482
accmart,9.93,0,"3,344"
other,9.93,0,56
eformart,9.14,$0.79 ,"9,650"
other,9.93,0,733
other,9.94,0,0
other,5.95,$3.99 ,0
other,7.98,$2.98 ,17
other,11.49,0,60
other,12.89,0,59
http://www.amazon.com/gp/offer-listing/B00007AP2O,26/03/2014,,
ELE,1.99,0,"1,574"
accmart,1.99,0,"3,344"
other,1.99,0,"1,468"
smart,1.99,0,"9,347"
HKSELLER,1.99,0,"6,369"
overfeel,2,0,"2,990"
space,2,0,"5,429"
other,2.01,0,"1,926"
