other,1.46,$1.50 ,117,,other,1.46,$1.50 ,117,,,,
other,2.96,0,369,,other,2.96,0,369,,,,
other,2.97,0,"31,456",,other,2.97,0,"109,763",,,,
http://www.amazon.com/gp/offer-listing/B00APJL1XG,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B00APJL1XG,27/03/2014,,,,,,
other,9.27,0,45,,other,9.27,0,45,,,,
eformart,8.49,$0.79 ,"9,653",,eformart,8.49,$0.79 ,"9,653",,,,
other,9.29,0,"5,531",,other,9.29,0,"5,530",,,,
ELE,9.34,0,"1,573",,ELE,9.34,0,"1,573",,,,
accmart,9.35,0,"3,346",,accmart,9.35,0,"3,346",,,,
other,9.37,0,"1,474",,other,9.37,0,"1,474",,,,
other,9.38,0,1,,other,9.38,0,1,,,,
other,9.42,0,18,,other,9.42,0,18,,,,
other,9.99,0,960,,other,9.99,0,960,,,,
other,5.49,$4.99 ,"1,078",,other,5.49,$4.99 ,"1,078",,,,
http://www.amazon.com/gp/offer-listing/B005QWH4QA,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B005QWH4QA,27/03/2014,,,,,,
other,5.49,0,3,,other,5.49,0,3,,,,
other,6.11,0,"1,474",,other,6.11,0,"1,474",,,,
other,3.14,$2.98 ,"859,372",,eformart,5.33,$0.79 ,"9,653",,,,
eformart,5.33,$0.79 ,"9,653",,ELE,6.12,0,"1,573",,,,
accmart,6.12,0,"3,346",,other,3.14,$2.98 ,"859,374",,,,
ELE,6.12,0,"1,573",,accmart,6.12,0,"3,346",,,,
other,6.9,0,280,,other,6.9,0,280,,,,
other,7.21,0,0,,other,7.21,0,0,,,,
other,2.5,$4.99 ,"2,640",,other,2.5,$4.99 ,"2,640",,,,
other,7.99,0,"2,496",,other,7.99,0,"2,496",,,,
http://www.amazon.com/gp/offer-listing/B007PODI1W,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B007PODI1W,27/03/2014,,,,,,
accmart,3.75,0,"3,346",,accmart,3.75,0,"3,346",,,,
other,3.76,0,"4,402",,other,3.76,0,"5,042",,,,
other,3.76,0,"5,044",,other,3.76,0,"4,402",,,,
other,3.77,0,"11,843",,other,3.77,0,"11,843",,,,
other,3.77,0,"1,936",,other,3.77,0,"1,936",,,,
eformart,2.98,$0.79 ,"9,653",,eformart,2.98,$0.79 ,"9,653",,,,
ELE,3.78,0,"1,573",,ELE,3.78,0,"1,573",,,,
other,3.85,0,"5,249",,other,3.85,0,"5,249",,,,
Meco,3.9,0,"8,875",,Meco,3.9,0,"8,875",,,,
other,3.9,0,"1,279",,other,3.9,0,"1,278",,,,
http://www.amazon.com/gp/offer-listing/B009CQC7YU,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B009CQC7YU,27/03/2014,,,,,,
other,2.06,0,363,,other,2.06,0,363,,,,
other,2.06,0,40,,other,2.06,0,40,,,,
accmart,2.08,0,"3,346",,eformart,1.29,$0.79 ,"9,653",,,,
eformart,1.29,$0.79 ,"9,653",,accmart,2.08,0,"3,346",,,,
smart,2.08,0,"9,363",,smart,2.08,0,"9,363",,,,
overfeel,2.09,0,"3,000",,overfeel,2.09,0,"3,000",,,,
HKSELLER,2.09,0,"6,374",,HKSELLER,2.09,0,"6,374",,,,
space,2.09,0,"5,433",,space,2.09,0,"5,433",,,,
other,2.1,0,10,,other,2.1,0,10,,,,
other,2.13,0,3,,other,2.13,0,3,,,,
http://www.amazon.com/gp/offer-listing/B004TZVKIS,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B004TZVKIS,27/03/2014,,,,,,
other,2.75,0,15,,other,2.75,0,15,,,,
other,2.75,0,646,,other,2.75,0,646,,,,
other,2.77,0,"5,531",,other,2.77,0,"5,529",,,,
other,1.78,$0.99 ,"4,893",,other,1.78,$0.99 ,"4,893",,,,
other,2.78,0,85,,other,2.78,0,85,,,,
accmart,2.79,0,"3,346",,accmart,2.79,0,"3,346",,,,
other,2.79,0,234,,other,2.79,0,234,,,,
other,1.86,$0.99 ,"1,960",,other,1.86,$0.99 ,"1,960",,,,
ELE,2.9,0,"1,573",,ELE,2.9,0,"1,573",,,,
other,2.23,$0.69 ,"1,456",,other,2.23,$0.69 ,"1,456",,,,
http://www.amazon.com/gp/offer-listing/B000BUDHNQ,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B000BUDHNQ,27/03/2014,,,,,,
other,2.32,0,"2,496",,other,2.32,0,"2,496",,,,
other,2.32,0,50,,eformart,1.53,$0.79 ,"9,653",,,,
ELE,2.32,0,"1,573",,ELE,2.32,0,"1,573",,,,
other,2.32,0,209,,other,2.32,0,50,,,,
accmart,2.32,0,"3,346",,accmart,2.32,0,"3,346",,,,
eformart,1.53,$0.79 ,"9,653",,other,2.32,0,209,,,,
other,1.8,$0.99 ,"33,363",,other,1.8,$0.99 ,"33,360",,,,
other,2.89,0,"31,456",,other,2.89,0,"31,456",,,,
other,3,0,"1,442",,other,3,0,"1,442",,,,
other,3.99,0,"1,076",,other,3.99,0,"1,076",,,,
http://www.amazon.com/gp/offer-listing/B001MT3FMI,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B001MT3FMI,27/03/2014,,,,,,
other,10.85,0,"1,474",,other,10.85,0,"1,474",,,,
eformart,10.11,$0.79 ,"9,653",,eformart,10.11,$0.79 ,"9,653",,,,
accmart,10.99,0,"3,346",,accmart,10.99,0,"3,346",,,,
ELE,10.99,0,"1,573",,ELE,10.99,0,"1,573",,,,
other,11.68,$0.50 ,"256,077",,other,11.68,$0.50 ,"256,077",,,,
other,12.99,0,"2,889",,other,12.99,0,"2,889",,,,
other,13.55,0,89,,other,13.55,0,89,,,,
other,13.55,0,"5,530",,other,13.55,0,"5,531",,,,
other,14.97,$1.99 ,57,,other,14.97,$1.99 ,57,,,,
other,17.66,$0.99 ,61,,other,17.66,$0.99 ,61,,,,
http://www.amazon.com/gp/offer-listing/B000I23TTE,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B000I23TTE,27/03/2014,,,,,,
other,2.34,0,15,,other,2.34,0,15,,,,
other,2.35,0,405,,other,2.35,0,405,,,,
other,2.37,0,589,,other,2.37,0,589,,,,
other,2.38,0,"9,671",,other,2.38,0,"9,671",,,,
other,2.38,0,"1,442",,other,2.38,0,"1,442",,,,
accmart,2.38,0,"3,346",,accmart,2.38,0,"3,346",,,,
eformart,1.59,$0.79 ,"9,653",,eformart,1.59,$0.79 ,"9,653",,,,
other,2.38,0,"216,555",,other,2.38,0,"216,555",,,,
other,2.38,0,"5,529",,other,2.38,0,"5,531",,,,
other,2.39,0,114,,other,2.39,0,114,,,,
http://www.amazon.com/gp/offer-listing/B000UVD8B2,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B000UVD8B2,27/03/2014,,,,,,
accmart,4.11,0,"3,346",,accmart,4.11,0,"3,346",,,,
other,4.12,0,"4,402",,other,4.12,0,"4,402",,,,
eformart,3.33,$0.79 ,"9,653",,eformart,3.33,$0.79 ,"9,653",,,,
other,4.12,0,"5,044",,other,4.12,0,"5,046",,,,
other,4.13,0,"4,758",,other,4.13,0,"4,758",,,,
ELE,4.14,0,"1,573",,ELE,4.14,0,"1,573",,,,
other,4.15,0,612,,other,4.15,0,612,,,,
other,4.2,0,151,,other,4.2,0,151,,,,
other,4.45,0,"1,936",,other,4.45,0,"1,935",,,,
other,5.45,0,"1,442",,other,5.45,0,"1,442",,,,
http://www.amazon.com/gp/offer-listing/B002JEL40A,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B002JEL40A,27/03/2014,,,,,,
other,0.01,$1.95 ,9,,other,1.96,0,12,,,,
other,1.96,0,12,,other,0.01,$1.95 ,9,,,,
other,2.21,0,419,,other,2.21,0,419,,,,
other,2.22,0,85,,other,2.22,0,85,,,,
accmart,2.23,0,"3,346",,accmart,2.23,0,"3,346",,,,
eformart,1.45,$0.79 ,"9,653",,eformart,1.45,$0.79 ,"9,653",,,,
